NEATFO|7.0.4|
45057|42660|FUTSTK|BAJAJFINSV|XX|1267281000|-1|XX|0|FUTSTK|BAJAJFINSV|XX|1269700200|-1|XX|0|971305|-48565|48565|-9715|9715|125|125|5|125|125|5|1|N
42661|56077|FUTSTK|BAJFINANCE|XX|1269700200|-1|XX|0|FUTSTK|BAJFINANCE|XX|1272724200|-1|XX|0|480115|-24005|24005|-4805|4805|250|250|5|250|250|5|1|N
45058|42661|FUTSTK|BAJFINANCE|XX|1267281000|-1|XX|0|FUTSTK|BAJFINANCE|XX|1269700200|-1|XX|0|479140|-23960|23960|-4795|4795|250|250|5|250|250|5|1|N
42664|56078|FUTSTK|BALKRISIND|XX|1269700200|-1|XX|0|FUTSTK|BALKRISIND|XX|1272724200|-1|XX|0|115235|-5765|5765|-1155|1155|800|800|5|800|800|5|1|N
45059|42664|FUTSTK|BALKRISIND|XX|1267281000|-1|XX|0|FUTSTK|BALKRISIND|XX|1269700200|-1|XX|0|115400|-5770|5770|-1155|1155|800|800|5|800|800|5|1|N
42665|56079|FUTSTK|BANKBARODA|XX|1269700200|-1|XX|0|FUTSTK|BANKBARODA|XX|1272724200|-1|XX|0|8685|-435|435|-90|90|5400|5400|5|5400|5400|5|1|N
45060|42665|FUTSTK|BANKBARODA|XX|1267281000|-1|XX|0|FUTSTK|BANKBARODA|XX|1269700200|-1|XX|0|8655|-435|435|-90|90|5400|5400|5|5400|5400|5|1|N
42620|56058|FUTIDX|BANKNIFTY|XX|1269700200|-1|XX|0|FUTIDX|BANKNIFTY|XX|1272724200|-1|XX|0|3100695|-93020|93020|-31010|31010|20|20|5|20|20|5|1|N
45041|42620|FUTIDX|BANKNIFTY|XX|1267281000|-1|XX|0|FUTIDX|BANKNIFTY|XX|1269700200|-1|XX|0|3090210|-92710|92710|-30905|30905|20|20|5|20|20|5|1|N
45041|56058|FUTIDX|BANKNIFTY|XX|1267281000|-1|XX|0|FUTIDX|BANKNIFTY|XX|1272724200|-1|XX|0|3090210|-92710|92710|-30905|30905|20|20|5|20|20|5|1|N
42672|56080|FUTSTK|BATAINDIA|XX|1269700200|-1|XX|0|FUTSTK|BATAINDIA|XX|1272724200|-1|XX|0|179705|-8985|8985|-1800|1800|550|550|5|550|550|5|1|N
45061|42672|FUTSTK|BATAINDIA|XX|1267281000|-1|XX|0|FUTSTK|BATAINDIA|XX|1269700200|-1|XX|0|179045|-8955|8955|-1790|1790|550|550|5|550|550|5|1|N
42673|56081|FUTSTK|BEL|XX|1269700200|-1|XX|0|FUTSTK|BEL|XX|1272724200|-1|XX|0|8330|-420|420|-85|85|6000|6000|5|6000|6000|5|1|N
45062|42673|FUTSTK|BEL|XX|1267281000|-1|XX|0|FUTSTK|BEL|XX|1269700200|-1|XX|0|8325|-420|420|-85|85|6000|6000|5|6000|6000|5|1|N
42674|56082|FUTSTK|BERGEPAINT|XX|1269700200|-1|XX|0|FUTSTK|BERGEPAINT|XX|1272724200|-1|XX|0|57920|-2900|2900|-580|580|2200|2200|5|2200|2200|5|1|N
45063|42674|FUTSTK|BERGEPAINT|XX|1267281000|-1|XX|0|FUTSTK|BERGEPAINT|XX|1269700200|-1|XX|0|58050|-2905|2905|-580|580|2200|2200|5|2200|2200|5|1|N
42675|56083|FUTSTK|BHARATFORG|XX|1269700200|-1|XX|0|FUTSTK|BHARATFORG|XX|1272724200|-1|XX|0|48840|-2445|2445|-490|490|1300|1300|5|1300|1300|5|1|N
45064|42675|FUTSTK|BHARATFORG|XX|1267281000|-1|XX|0|FUTSTK|BHARATFORG|XX|1269700200|-1|XX|0|48405|-2420|2420|-485|485|1300|1300|5|1300|1300|5|1|N
42677|56084|FUTSTK|BHARTIARTL|XX|1269700200|-1|XX|0|FUTSTK|BHARTIARTL|XX|1272724200|-1|XX|0|56880|-2845|2845|-570|570|1851|1851|5|1851|1851|5|1|N
45065|42677|FUTSTK|BHARTIARTL|XX|1267281000|-1|XX|0|FUTSTK|BHARTIARTL|XX|1269700200|-1|XX|0|56665|-2835|2835|-570|570|1851|1851|5|1851|1851|5|1|N
42679|56085|FUTSTK|BHEL|XX|1269700200|-1|XX|0|FUTSTK|BHEL|XX|1272724200|-1|XX|0|3630|-185|185|-40|40|10400|10400|5|10400|10400|5|1|N
45066|42679|FUTSTK|BHEL|XX|1267281000|-1|XX|0|FUTSTK|BHEL|XX|1269700200|-1|XX|0|3635|-185|185|-40|40|10400|10400|5|10400|10400|5|1|N
42680|56086|FUTSTK|BIOCON|XX|1269700200|-1|XX|0|FUTSTK|BIOCON|XX|1272724200|-1|XX|0|30685|-1535|1535|-310|310|2300|2300|5|2300|2300|5|1|N
45067|42680|FUTSTK|BIOCON|XX|1267281000|-1|XX|0|FUTSTK|BIOCON|XX|1269700200|-1|XX|0|30770|-1540|1540|-310|310|2300|2300|5|2300|2300|5|1|N
42681|56087|FUTSTK|BOSCHLTD|XX|1269700200|-1|XX|0|FUTSTK|BOSCHLTD|XX|1272724200|-1|XX|0|1457785|-72890|72890|-14580|14580|40|40|5|40|40|5|1|N
45068|42681|FUTSTK|BOSCHLTD|XX|1267281000|-1|XX|0|FUTSTK|BOSCHLTD|XX|1269700200|-1|XX|0|1461000|-73050|73050|-14610|14610|40|40|5|40|40|5|1|N
42682|56088|FUTSTK|BPCL|XX|1269700200|-1|XX|0|FUTSTK|BPCL|XX|1272724200|-1|XX|0|47000|-2350|2350|-470|470|1800|1800|5|1800|1800|5|1|N
45069|42682|FUTSTK|BPCL|XX|1267281000|-1|XX|0|FUTSTK|BPCL|XX|1269700200|-1|XX|0|47735|-2390|2390|-925|35|1800|1800|5|1800|1800|5|1|N
42683|56089|FUTSTK|BRITANNIA|XX|1269700200|-1|XX|0|FUTSTK|BRITANNIA|XX|1272724200|-1|XX|0|312185|-15610|15610|-3125|3125|200|200|5|200|200|5|1|N
45074|42683|FUTSTK|BRITANNIA|XX|1267281000|-1|XX|0|FUTSTK|BRITANNIA|XX|1269700200|-1|XX|0|310870|-15545|15545|-3110|3110|200|200|5|200|200|5|1|N
42686|56090|FUTSTK|CADILAHC|XX|1269700200|-1|XX|0|FUTSTK|CADILAHC|XX|1272724200|-1|XX|0|26845|-1345|1345|-270|270|2200|2200|5|2200|2200|5|1|N
45096|42686|FUTSTK|CADILAHC|XX|1267281000|-1|XX|0|FUTSTK|CADILAHC|XX|1269700200|-1|XX|0|27045|-1355|1355|-270|270|2200|2200|5|2200|2200|5|1|N
42687|56091|FUTSTK|CANBK|XX|1269700200|-1|XX|0|FUTSTK|CANBK|XX|1272724200|-1|XX|0|18110|-905|905|-185|185|2600|2600|5|2600|2600|5|1|N
45097|42687|FUTSTK|CANBK|XX|1267281000|-1|XX|0|FUTSTK|CANBK|XX|1269700200|-1|XX|0|18060|-905|905|-180|180|2600|2600|5|2600|2600|5|1|N
42692|56092|FUTSTK|CENTURYTEX|XX|1269700200|-1|XX|0|FUTSTK|CENTURYTEX|XX|1272724200|-1|XX|0|58460|-2925|2925|-585|585|600|600|5|600|600|5|1|N
45106|42692|FUTSTK|CENTURYTEX|XX|1267281000|-1|XX|0|FUTSTK|CENTURYTEX|XX|1269700200|-1|XX|0|58325|-2920|2920|-585|585|600|600|5|600|600|5|1|N
42693|56093|FUTSTK|CESC|XX|1269700200|-1|XX|0|FUTSTK|CESC|XX|1272724200|-1|XX|0|69780|-3490|3490|-700|700|800|800|5|800|800|5|1|N
45107|42693|FUTSTK|CESC|XX|1267281000|-1|XX|0|FUTSTK|CESC|XX|1269700200|-1|XX|0|69455|-3475|3475|-695|695|800|800|5|800|800|5|1|N
42694|56125|FUTSTK|CHOLAFIN|XX|1269700200|-1|XX|0|FUTSTK|CHOLAFIN|XX|1272724200|-1|XX|0|33475|-1675|1675|-335|335|2500|2500|5|2500|2500|5|1|N
45113|42694|FUTSTK|CHOLAFIN|XX|1267281000|-1|XX|0|FUTSTK|CHOLAFIN|XX|1269700200|-1|XX|0|33375|-1670|1670|-335|335|2500|2500|5|2500|2500|5|1|N
42695|56126|FUTSTK|CIPLA|XX|1269700200|-1|XX|0|FUTSTK|CIPLA|XX|1272724200|-1|XX|0|44800|-2240|2240|-450|450|1150|1150|5|1150|1150|5|1|N
45114|42695|FUTSTK|CIPLA|XX|1267281000|-1|XX|0|FUTSTK|CIPLA|XX|1269700200|-1|XX|0|44775|-2240|2240|-450|450|1150|1150|5|1150|1150|5|1|N
42700|56172|FUTSTK|COALINDIA|XX|1269700200|-1|XX|0|FUTSTK|COALINDIA|XX|1272724200|-1|XX|0|17320|-870|870|-175|175|2700|2700|5|2700|2700|5|1|N
45120|42700|FUTSTK|COALINDIA|XX|1267281000|-1|XX|0|FUTSTK|COALINDIA|XX|1269700200|-1|XX|0|17505|-875|875|-235|120|2700|2700|5|2700|2700|5|1|N
42701|56173|FUTSTK|COLPAL|XX|1269700200|-1|XX|0|FUTSTK|COLPAL|XX|1272724200|-1|XX|0|134585|-6730|6730|-1345|1345|700|700|5|700|700|5|1|N
45121|42701|FUTSTK|COLPAL|XX|1267281000|-1|XX|0|FUTSTK|COLPAL|XX|1269700200|-1|XX|0|134145|-6710|6710|-1345|1345|700|700|5|700|700|5|1|N
42702|56174|FUTSTK|CONCOR|XX|1269700200|-1|XX|0|FUTSTK|CONCOR|XX|1272724200|-1|XX|0|56010|-2800|2800|-560|560|1563|1563|5|1563|1563|5|1|N
45122|42702|FUTSTK|CONCOR|XX|1267281000|-1|XX|0|FUTSTK|CONCOR|XX|1269700200|-1|XX|0|56035|-2805|2805|-560|560|1563|1563|5|1563|1563|5|1|N
42706|56175|FUTSTK|CUMMINSIND|XX|1269700200|-1|XX|0|FUTSTK|CUMMINSIND|XX|1272724200|-1|XX|0|53860|-2695|2695|-540|540|900|900|5|900|900|5|1|N
45123|42706|FUTSTK|CUMMINSIND|XX|1267281000|-1|XX|0|FUTSTK|CUMMINSIND|XX|1269700200|-1|XX|0|53745|-2690|2690|-540|540|900|900|5|900|900|5|1|N
42708|56204|FUTSTK|DABUR|XX|1269700200|-1|XX|0|FUTSTK|DABUR|XX|1272724200|-1|XX|0|50940|-2550|2550|-510|510|1250|1250|5|1250|1250|5|1|N
45124|42708|FUTSTK|DABUR|XX|1267281000|-1|XX|0|FUTSTK|DABUR|XX|1269700200|-1|XX|0|50800|-2540|2540|-510|510|1250|1250|5|1250|1250|5|1|N
42709|56205|FUTSTK|DIVISLAB|XX|1269700200|-1|XX|0|FUTSTK|DIVISLAB|XX|1272724200|-1|XX|0|214620|-10735|10735|-2150|2150|400|400|5|400|400|5|1|N
45125|42709|FUTSTK|DIVISLAB|XX|1267281000|-1|XX|0|FUTSTK|DIVISLAB|XX|1269700200|-1|XX|0|213900|-10695|10695|-2140|2140|400|400|5|400|400|5|1|N
42710|56221|FUTSTK|DLF|XX|1269700200|-1|XX|0|FUTSTK|DLF|XX|1272724200|-1|XX|0|22785|-1140|1140|-230|230|3300|3300|5|3300|3300|5|1|N
45136|42710|FUTSTK|DLF|XX|1267281000|-1|XX|0|FUTSTK|DLF|XX|1269700200|-1|XX|0|22690|-1135|1135|-230|230|3300|3300|5|3300|3300|5|1|N
42711|56225|FUTSTK|DRREDDY|XX|1269700200|-1|XX|0|FUTSTK|DRREDDY|XX|1272724200|-1|XX|0|332225|-16615|16615|-3325|3325|250|250|5|250|250|5|1|N
45137|42711|FUTSTK|DRREDDY|XX|1267281000|-1|XX|0|FUTSTK|DRREDDY|XX|1269700200|-1|XX|0|330600|-16530|16530|-3310|3310|250|250|5|250|250|5|1|N
