date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:28	51752/51752	---M--	200	added ('OK')	image/jpeg	etag:%22ca28-5a3758c41ade6%22	http://images.scdaarchitects.com/www_scdaarchitects_com/thumbnail_1_AmberPark_AR0.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/thumbnail_1_AmberPark_AR0.jpg	(from http://www.scdaarchitects.com/architecture)
11:55:29	11039/11039	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:26%20GMT	http://www.scdaarchitects.com/architecture/riviere	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/riviere.html	(from http://www.scdaarchitects.com/architecture)
11:55:30	9111/9111	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:28%20GMT	http://www.scdaarchitects.com/architecture/riviere-gallery	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/riviere-gallery.html	(from http://www.scdaarchitects.com/architecture)
11:55:33	9403/9403	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:30%20GMT	http://www.scdaarchitects.com/architecture/19-nassim-gallery	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/19-nassim-gallery.html	(from http://www.scdaarchitects.com/architecture)
11:55:33	69841/69841	---M--	200	added ('OK')	image/jpeg	etag:%22110d1-5af06578cc95f%22	http://images.scdaarchitects.com/www_scdaarchitects_com/thumbnail_1_RiviereGallery_AR0.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/thumbnail_1_RiviereGallery_AR0.jpg	(from http://www.scdaarchitects.com/architecture)
11:55:35	10987/10987	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:32%20GMT	http://www.scdaarchitects.com/architecture/19-nassim-road	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/19-nassim-road.html	(from http://www.scdaarchitects.com/architecture)
11:55:37	10648/10648	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:34%20GMT	http://www.scdaarchitects.com/architecture/botanika	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/botanika.html	(from http://www.scdaarchitects.com/architecture)
11:55:37	72424/72424	---M--	200	added ('OK')	image/jpeg	etag:%2211ae8-5aef1f9af8b13%22	http://images.scdaarchitects.com/www_scdaarchitects_com/thumbnail_1_NassimGallery_AR0.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/thumbnail_1_NassimGallery_AR0.jpg	(from http://www.scdaarchitects.com/architecture)
11:55:38	35961/35961	---M--	200	added ('OK')	image/jpeg	etag:%228c79-52b578bb4078b%22	http://images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Soo_K_Chan_Botanika_Singapore_Thumbnail0.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Soo_K_Chan_Botanika_Singapore_Thumbnail0.jpg	(from http://www.scdaarchitects.com/architecture)
11:55:39	8989/8989	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:36%20GMT	http://www.scdaarchitects.com/architecture/one-central-avenue	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/one-central-avenue.html	(from http://www.scdaarchitects.com/architecture)
11:55:40	10332/10332	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:38%20GMT	http://www.scdaarchitects.com/architecture/the-ladyhill	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/the-ladyhill.html	(from http://www.scdaarchitects.com/architecture)
11:55:43	9865/9865	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:40%20GMT	http://www.scdaarchitects.com/architecture/lincoln-modern	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/lincoln-modern.html	(from http://www.scdaarchitects.com/architecture)
11:55:43	54424/54424	---M--	200	added ('OK')	image/jpeg	etag:%22d498-52b578b206307%22	http://images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Soo_K_Chan_Ladyhill_Thumbnail0.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Soo_K_Chan_Ladyhill_Thumbnail0.jpg	(from http://www.scdaarchitects.com/architecture)
11:55:44	23965/23965	---M--	200	added ('OK')	image/jpeg	etag:%225d9d-52b578b272962%22	http://images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Soo_Chan_Lincoln_Modern_Singapore_Thumbnail0.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Soo_Chan_Lincoln_Modern_Singapore_Thumbnail0.jpg	(from http://www.scdaarchitects.com/architecture)
11:55:44	11924/11924	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:42%20GMT	http://www.scdaarchitects.com/architecture/dhoby-ghaut-green	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/dhoby-ghaut-green.html	(from http://www.scdaarchitects.com/architecture)
11:55:46	10315/10315	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:43%20GMT	http://www.scdaarchitects.com/architecture/tagore-industrial-building	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/tagore-industrial-building.html	(from http://www.scdaarchitects.com/architecture)
11:55:48	10060/10060	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:45%20GMT	http://www.scdaarchitects.com/architecture/singapore-high-commision	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/singapore-high-commision.html	(from http://www.scdaarchitects.com/architecture)
11:55:48	47946/47946	---M--	200	added ('OK')	image/jpeg	etag:%22bb4a-52b578b462acf%22	http://images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Soo_K_Chan_Tagore_Industrial_Building_Thumbnail_20.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Soo_K_Chan_Tagore_Industrial_Building_Thumbnail_20.jpg	(from http://www.scdaarchitects.com/architecture)
11:55:50	9734/9734	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:47%20GMT	http://www.scdaarchitects.com/architecture/grange-road-house-i	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/grange-road-house-i.html	(from http://www.scdaarchitects.com/architecture)
11:55:51	55341/55341	---M--	200	added ('OK')	image/jpeg	etag:%22d82d-52b578b7d674d%22	http://images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Singapore_High_Commission_Thumbnail0.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Singapore_High_Commission_Thumbnail0.jpg	(from http://www.scdaarchitects.com/architecture)
11:55:52	14103/14103	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:49%20GMT	http://www.scdaarchitects.com/tags/houses	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/tags/houses.html	(from http://www.scdaarchitects.com/architecture)
11:55:53	10611/10611	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:51%20GMT	http://www.scdaarchitects.com/architecture/lakeshore-view-house	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/lakeshore-view-house.html	(from http://www.scdaarchitects.com/architecture)
11:55:58	58397/58397	---M--	200	added ('OK')	image/jpeg	etag:%22e41d-52b578ba32f16%22	http://images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Lakeshore_View_House_Thumbnail0.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Lakeshore_View_House_Thumbnail0.jpg	(from http://www.scdaarchitects.com/architecture)
11:55:59	9236/9236	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:56%20GMT	http://www.scdaarchitects.com/architecture/park-central-towers	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/park-central-towers.html	(from http://www.scdaarchitects.com/architecture)
11:56:01	10839/10839	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:25:58%20GMT	http://www.scdaarchitects.com/architecture/kl-house	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/kl-house.html	(from http://www.scdaarchitects.com/architecture)
11:56:01	51343/51343	---M--	200	added ('OK')	image/jpeg	etag:%22c88f-52b578baac091%22	http://images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Project_Emerald_Thumbnail0.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/SCDA_Project_Emerald_Thumbnail0.jpg	(from http://www.scdaarchitects.com/architecture)
11:56:03	10427/10427	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:26:00%20GMT	http://www.scdaarchitects.com/architecture/house-in-new-delhi	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/house-in-new-delhi.html	(from http://www.scdaarchitects.com/architecture)
11:56:04	54337/54337	---M--	200	added ('OK')	image/jpeg	etag:%22d441-5a3758340d1b3%22	http://images.scdaarchitects.com/www_scdaarchitects_com/thumbnail_1_KLHouse_AR0.jpg	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/thumbnail_1_KLHouse_AR0.jpg	(from http://www.scdaarchitects.com/architecture)
11:56:05	14515/14515	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20Jun%202021%2006:26:03%20GMT	http://www.scdaarchitects.com/architecture/selected-projects	C:/My%20Web%20Sites/SCDA/www.scdaarchitects.com/architecture/selected-projects.html	(from http://www.scdaarchitects.com/architecture)
11:56:06	3189/3189	---M--	200	added ('OK')	image/png	etag:%22c75-5825bf2938f21%22	http://images.scdaarchitects.com/www_scdaarchitects_com/scda_instagram_icon00.png	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/scda_instagram_icon00.png	(from http://www.scdaarchitects.com/architecture)
11:56:06	645/645	---M--	200	added ('OK')	image/png	etag:%22285-583761479e37f%22	http://images.scdaarchitects.com/www_scdaarchitects_com/tmp_41380XMZD8h86n9OP0.png	C:/My%20Web%20Sites/SCDA/images.scdaarchitects.com/www_scdaarchitects_com/tmp_41380XMZD8h86n9OP0.png	(from http://www.scdaarchitects.com/architecture)
